Country,Year,Avg_Temp,co2,methane,nitrous_oxide,total_ghg,Food_Production_Tonnes,Temp_Category,Carbon_Intensity_Index
Afghanistan,2000,1.0,0.0,1.0,2.0,1.0,2.0,Moderate,1.9754964065537733e-07
Afghanistan,2001,1.0,0.0,1.0,2.0,1.0,2.0,Moderate,1.8326084086486386e-07
Afghanistan,2002,1.0,0.0,2.0,2.0,1.0,2.0,Moderate,2.226886902034421e-07
Afghanistan,2003,1.0,0.0,2.0,2.0,1.0,2.0,Moderate,2.2505945075021e-07
Afghanistan,2004,1.0,0.0,2.0,2.0,1.0,2.0,Moderate,1.916437600651639e-07
Afghanistan,2005,1.0,1.0,2.0,2.0,1.0,2.0,Moderate,1.843102705286701e-07
Afghanistan,2006,1.0,1.0,2.0,2.0,1.0,2.0,Moderate,1.7568652362225237e-07
Afghanistan,2007,1.0,1.0,2.0,2.0,1.0,2.0,Moderate,1.902959860090939e-07
Afghanistan,2008,1.0,1.0,2.0,2.0,1.0,2.0,Moderate,2.073141286873749e-07
Afghanistan,2009,1.0,1.0,2.0,2.0,1.0,2.0,Moderate,2.281531619376709e-07
Afghanistan,2010,1.0,2.0,2.0,2.0,1.0,2.0,Moderate,2.438781725260489e-07
Afghanistan,2011,1.0,2.0,2.0,2.0,1.0,2.0,Moderate,2.802960449342726e-07
Afghanistan,2012,1.0,2.0,2.0,2.0,1.0,2.0,Moderate,2.507373207696771e-07
Afghanistan,2013,1.0,2.0,2.0,2.0,1.0,2.0,Moderate,2.287120624977864e-07
Africa,2000,2.0,4.0,4.0,4.0,4.0,4.0,Hot,1.3517561371466512e-05
Africa,2001,3.0,4.0,4.0,4.0,4.0,4.0,Hot,1.3101952859859833e-05
Africa,2002,3.0,4.0,4.0,4.0,4.0,4.0,Hot,1.2915632301127216e-05
Africa,2003,3.0,4.0,4.0,4.0,4.0,4.0,Hot,1.325406006638016e-05
Africa,2004,3.0,4.0,4.0,4.0,4.0,4.0,Hot,1.2815816042258994e-05
Africa,2005,3.0,4.0,4.0,4.0,4.0,4.0,Hot,1.2342382302262069e-05
Africa,2006,2.0,4.0,4.0,4.0,4.0,4.0,Hot,1.1983089531918694e-05
Africa,2007,3.0,4.0,4.0,4.0,4.0,4.0,Hot,1.2864483731403913e-05
Africa,2008,2.0,4.0,4.0,4.0,4.0,4.0,Hot,1.3069574967230377e-05
Africa,2009,3.0,4.0,4.0,4.0,4.0,4.0,Hot,1.3283369993242244e-05
Africa,2010,3.0,4.0,4.0,4.0,4.0,4.0,Hot,1.3353137454675928e-05
Africa,2011,2.0,4.0,4.0,4.0,4.0,4.0,Hot,1.37364007573614e-05
Africa,2012,2.0,4.0,4.0,4.0,4.0,4.0,Hot,1.2707376931642429e-05
Africa,2013,3.0,4.0,4.0,4.0,4.0,4.0,Hot,1.199886899864297e-05
Albania,2000,1.0,1.0,0.0,1.0,0.0,4.0,Moderate,8.24179658304513e-09
Albania,2001,1.0,1.0,0.0,1.0,0.0,4.0,Moderate,7.987910431854111e-09
Albania,2002,1.0,1.0,0.0,1.0,0.0,4.0,Moderate,8.145611503324881e-09
Albania,2003,1.0,1.0,0.0,1.0,0.0,4.0,Moderate,1.3584175208830036e-08
Albania,2004,1.0,1.0,0.0,1.0,0.0,4.0,Moderate,1.1460472823468944e-08
Albania,2005,1.0,1.0,0.0,1.0,0.0,4.0,Moderate,1.6410791597717892e-08
Albania,2006,1.0,1.0,0.0,1.0,0.0,4.0,Moderate,1.1597557399654269e-08
Albania,2007,1.0,1.0,0.0,1.0,0.0,4.0,Moderate,1.4335910593825452e-08
Albania,2008,1.0,1.0,0.0,1.0,0.0,4.0,Moderate,1.172668275460652e-08
Albania,2009,1.0,1.0,0.0,1.0,0.0,4.0,Moderate,9.708189933805961e-09
Albania,2010,1.0,1.0,0.0,1.0,0.0,4.0,Moderate,9.805628364351968e-09
Albania,2011,1.0,1.0,0.0,1.0,0.0,4.0,Moderate,1.0084184071778618e-08
Albania,2012,1.0,1.0,0.0,1.0,0.0,4.0,Moderate,9.850522820135944e-09
