Country,Year,Avg_Temp,co2,methane,nitrous_oxide,total_ghg,Food_Production_Tonnes,Temp_Category,Carbon_Intensity_Index
Afghanistan,2000,15.497833333333334,1.047,9.724,3.222,16.009,81037858.38000001,Moderate,1.9754964065537733e-07
Afghanistan,2001,15.778083333333333,1.069,8.387,2.853,14.895,81277591.79999998,Moderate,1.8326084086486383e-07
Afghanistan,2002,15.537666666666668,1.341,10.375,3.299,20.037,89977626.42999999,Moderate,2.2268869020344207e-07
Afghanistan,2003,14.915999999999999,1.56,10.687,3.434,20.769,92282282.32899998,Moderate,2.2505945075021e-07
Afghanistan,2004,15.770916666666666,1.237,10.651,3.412,18.934,98797893.56,Moderate,1.9164376006516388e-07
Afghanistan,2005,14.979999999999999,1.89,10.901,3.561,19.199,104166738.84,Moderate,1.8431027052867012e-07
Afghanistan,2006,15.595583333333332,2.159,11.122,3.418,19.426,110571940.43,Moderate,1.7568652362225234e-07
Afghanistan,2007,15.106166666666667,2.8,11.452,3.366,20.244,106381643.85000001,Moderate,1.902959860090939e-07
Afghanistan,2008,15.216499999999998,4.254,12.664,3.665,23.057,111217696.24999999,Moderate,2.073141286873749e-07
Afghanistan,2009,15.25775,6.388,13.006,3.968,25.67,112512136.82,Moderate,2.2815316193767087e-07
Afghanistan,2010,15.828666666666665,8.365,14.88,4.388,29.565,121228560.35000001,Moderate,2.438781725260489e-07
Afghanistan,2011,15.518,11.41,15.341,4.523,32.977,117650606.62,Moderate,2.802960449342726e-07
Afghanistan,2012,14.481583333333333,9.731,15.133,4.545,30.964,123491786.76,Moderate,2.5073732076967703e-07
Afghanistan,2013,16.533625,8.891,15.176,4.559,30.17,131912586.69,Moderate,2.2871206249778634e-07
Africa,2000,24.588083333333334,927.86,1144.002,332.845,3546.103,262333041.37,Hot,1.3517561371466513e-05
Africa,2001,24.841166666666666,917.322,1126.9,325.154,3454.855,263690079.17000002,Hot,1.3101952859859831e-05
Africa,2002,24.961333333333332,896.956,1094.189,338.207,3595.661,278396047.77,Hot,1.2915632301127217e-05
Africa,2003,25.025583333333334,988.111,1156.926,351.472,3807.845,287296493.88,Hot,1.3254060066380159e-05
Africa,2004,24.895916666666665,1043.504,1165.298,355.221,3834.66,299213095.33,Hot,1.2815816042258994e-05
Africa,2005,25.156166666666667,1055.713,1187.496,373.502,3831.348,310422080.09999996,Hot,1.2342382302262069e-05
