Setting,Split,Algorithm,Accuracy Score
Setting 3,Split B,Decision Tree,0.9304
Setting 2,Split B,Decision Tree,0.9241
Setting 3,Split A,Decision Tree,0.9177
Setting 2,Split A,Decision Tree,0.9051
Setting 1,Split B,Decision Tree,0.8917
Setting 1,Split A,Decision Tree,0.8599
Setting 2,Split B,Logistic Regression,0.7722
Setting 3,Split B,Logistic Regression,0.7595
Setting 2,Split A,Logistic Regression,0.7468
Setting 4,Split B,Decision Tree,0.7468
Setting 3,Split A,Logistic Regression,0.7437
Setting 4,Split A,Decision Tree,0.6899
Setting 1,Split B,Logistic Regression,0.5096
Setting 1,Split A,Logistic Regression,0.5064
Setting 1,Split B,Radius Neighbors,0.4395
Setting 1,Split A,Radius Neighbors,0.4108
Setting 2,Split A,Radius Neighbors,0.3829
Setting 4,Split B,Logistic Regression,0.3797
Setting 4,Split A,Logistic Regression,0.3703
Setting 2,Split B,Radius Neighbors,0.3671
Setting 3,Split A,Radius Neighbors,0.3671
Setting 4,Split A,Radius Neighbors,0.3671
Setting 3,Split B,Radius Neighbors,0.3608
Setting 4,Split B,Radius Neighbors,0.3608
